shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
12,75,0.271330204374045,6,0.001
23,54,0.271269092784525,58,0.004
28,48,0.271213070037871,15,0.001
15,65,0.271046871681347,17,0.003
28,49,0.270895334848034,20,0.001
25,67,0.270783215554214,9,0.001
34,71,0.270562914658745,19,0.001
56,83,0.269463904827018,20,0.001
8,80,0.269179007788866,11,0.002
23,38,0.269090925673808,34,0.002
24,82,0.268842093059803,14,0.002
24,44,0.26855862178172,16,0.001
24,53,0.268436349737206,20,0.001
28,60,0.268230243355856,18,0.001
25,56,0.267880286357929,18,0.001
24,75,0.267799123247224,24,0.003
55,82,0.267630723250251,16,0.001
45,81,0.26742384144743,64,0.003
33,62,0.267352467338552,79,0.003
17,30,0.267347394020261,14,0.001
34,70,0.267340400995947,18,0.001
7,80,0.26707655773614,24,0.004
29,82,0.267031447266476,9,0.001
11,65,0.266826532545886,17,0.003
9,82,0.266467047865414,7,0.001
32,74,0.266418174019329,13,0.001
37,76,0.266213627899093,16,0.001
35,61,0.266106754324296,38,0.001
41,77,0.266081094289315,23,0.001
22,84,0.266053898403065,7,0.001
44,77,0.265728785209423,22,0.001
37,82,0.26543370838173,16,0.001
23,40,0.265241068578342,30,0.002
14,53,0.265007486546588,10,0.002
14,38,0.26484477406102,16,0.001
23,43,0.264581603435893,35,0.002
36,74,0.264461139412,22,0.001
16,52,0.263675250551536,7,0.001
4,31,0.263296001517045,13,0.001
26,38,0.262754341205614,23,0.001
29,32,0.26274820225336,112,0.001
7,30,0.262464934768701,8,0.001
31,84,0.262119926901375,22,0.002
26,69,0.261530995727595,19,0.002
24,63,0.261473191389332,7,0.001
8,48,0.261460316962405,8,0.001
50,84,0.261367679445163,38,0.002
26,57,0.261367056398608,16,0.001
16,56,0.261303596720992,14,0.002
42,81,0.261301517108608,22,0.001
57,84,0.26129480550185,34,0.002
44,81,0.261008349486547,86,0.005
15,24,0.260987287667421,60,0.002
19,59,0.260822861360049,7,0.001
14,39,0.260571300679419,12,0.001
15,58,0.260502121107383,13,0.002
19,61,0.260355042352865,10,0.001
30,39,0.260354316339004,35,0.001
25,52,0.260258868632741,28,0.002
11,40,0.260245940770124,12,0.001
14,23,0.259818363515305,32,0.001
30,35,0.259402587253968,63,0.001
